"node","time","measure","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","capacity","node_name"
62,121,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,122,"niq",51.776015221094,70.7168237675563,98.0864865314846,71.9891635794125,52.7199914383727,64.4992654454798,80.9161054582169,92.6866833306043,29.5056765129053,101.947261300832,37,"P3_SG_BCap_S1los_S1Arr"
62,122,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,123,"niq",52.5025203839897,71.0735399667534,101.636169379127,73.3440608272009,54.6581737392259,67.508072443843,82.962703710861,94.0309236690997,30.3716318057804,103.051669013958,37,"P3_SG_BCap_S1los_S1Arr"
62,123,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,124,"niq",53.1084006145093,73.1035504389175,103.0771990147,74.6290386113124,54.9075698882706,67.1508211316728,85.5705878818619,96.162715189622,32.2035802082834,106.766740392247,37,"P3_SG_BCap_S1los_S1Arr"
62,124,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,125,"niq",54.0740821731379,75.5701084283171,103.533583454094,75.7241098640132,56.8621952218634,68.2411096212074,87.008719690826,98.0053758633556,31.9261517571769,105.589540965289,37,"P3_SG_BCap_S1los_S1Arr"
62,125,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,126,"niq",53.8377165391585,75.9995787262081,102.572934351971,76.322206408725,58.4058618330654,69.0654875413772,85.510362616154,100.04765751101,30.1589835727344,106.831565748,37,"P3_SG_BCap_S1los_S1Arr"
62,126,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,127,"niq",51.8089825237403,75.9635239395512,102.479442640373,76.181025621233,58.4376021504166,68.397243964735,87.3877307767688,99.8066737647216,32.001521405335,107.33209355685,37,"P3_SG_BCap_S1los_S1Arr"
62,127,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,128,"niq",51.8089825237403,75.5470574153273,100.686746894947,75.6875645863849,56.4161697201285,67.4837129407711,87.2240863990826,98.095030588025,32.2255168006807,105.751135800775,37,"P3_SG_BCap_S1los_S1Arr"
62,128,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,129,"niq",52.2383194125568,75.8181991580918,101.139673347728,75.9525484391375,57.497140076378,67.3293834644861,87.5049145511849,97.9132591571661,32.808013567197,105.759397233016,37,"P3_SG_BCap_S1los_S1Arr"
62,129,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,130,"niq",52.5475362396916,77.819813314758,104.583227281205,77.1319824085128,59.507019888291,68.094551195602,89.4627296276009,100.481644408871,33.7139165130378,107.680630555735,37,"P3_SG_BCap_S1los_S1Arr"
62,130,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,131,"niq",51.0525747526094,77.2751989228412,103.672116856172,77.6645306843077,61.6192094774133,69.3487069693879,90.649563717168,100.10576965644,32.9324264171966,106.951620403958,37,"P3_SG_BCap_S1los_S1Arr"
62,131,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,132,"niq",52.6398039736115,77.5787348166705,106.147608208504,78.8577441819005,62.6850877878883,70.6059408240115,91.0600219394611,100.48211711575,33.6742668435985,108.529887025308,37,"P3_SG_BCap_S1los_S1Arr"
62,132,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,133,"niq",52.7194452561808,77.2394005772783,105.452962257472,79.4253711214956,63.7399419767305,70.9101665009868,93.0328812493669,103.57790122117,29.9683397781424,108.966161720375,37,"P3_SG_BCap_S1los_S1Arr"
62,133,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,134,"niq",52.9143483381222,77.6726232299262,105.064204794707,79.1803060677009,64.0938016876883,71.0654856691287,92.7452444471922,101.54688717135,29.9683397781424,108.170744747964,37,"P3_SG_BCap_S1los_S1Arr"
62,134,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,135,"niq",52.4820059280544,77.1000379170577,102.869407532166,78.8726136325188,63.5036890862635,69.9868867648241,90.6752949766463,101.461658212639,28.9933386628222,106.855260866173,37,"P3_SG_BCap_S1los_S1Arr"
62,135,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,136,"niq",53.9221442896623,77.9650660897898,105.4343533656,79.7045532022255,63.1758406197185,71.7550027208941,90.8037530292651,103.013257872655,32.0613785570229,109.302322589377,37,"P3_SG_BCap_S1los_S1Arr"
62,136,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,137,"niq",54.5798734271801,79.2826160243527,108.819015336685,80.8053184116092,65.5047907652071,71.6086958237128,92.3631284400792,102.335472838225,32.494749976107,109.896859778186,37,"P3_SG_BCap_S1los_S1Arr"
62,137,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,138,"niq",54.3768513988566,80.9565808044419,108.192512754776,81.5974946221798,66.1481087664069,71.5291049707369,95.5663879894607,103.944362673578,33.5783342513118,109.596021428675,37,"P3_SG_BCap_S1los_S1Arr"
62,138,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,139,"niq",57.1206049417695,82.8614924347975,108.680826067769,83.0874296734233,67.6093376277203,74.4801484998847,97.5892963403794,106.828881068944,34.8132770689288,109.731915299851,37,"P3_SG_BCap_S1los_S1Arr"
62,139,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,140,"niq",58.1924928310175,83.7994730093022,109.342182578509,83.6910990460534,69.3295053471446,74.8331380524929,96.0277227777403,107.171943557168,35.9175303516627,110.675838500534,37,"P3_SG_BCap_S1los_S1Arr"
62,140,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,141,"niq",57.7552783581276,83.3052692194916,109.342182578509,83.4043836265057,68.2903107513449,74.3475285710598,95.8886542690273,107.095490853935,37.9606745754043,111.093691368174,37,"P3_SG_BCap_S1los_S1Arr"
62,141,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,142,"niq",57.7112907125402,82.5556069292612,110.000644222452,83.2035883781528,67.2964104956396,75.2729551814194,94.9644260601791,107.076690289137,36.3897913523299,111.580251587683,37,"P3_SG_BCap_S1los_S1Arr"
62,142,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,143,"niq",57.1166002281857,83.1310569770217,111.307922885301,83.3171386328757,68.1745900967512,74.0374321631437,95.0537408367115,107.014730379428,39.6414057766001,113.57814668932,37,"P3_SG_BCap_S1los_S1Arr"
62,143,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,144,"niq",58.1558916342359,84.8602476418526,111.508235423036,84.3147321476962,68.4733470209094,75.1167621528599,95.9632273374696,109.412488355527,40.5060363804632,112.343538951496,37,"P3_SG_BCap_S1los_S1Arr"
62,144,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,145,"niq",57.829971129669,84.0852861430179,111.926631396204,85.1660499566625,67.7830256467921,76.9085631130282,98.7426705295143,110.881947902414,37.4142582567354,112.662351659524,37,"P3_SG_BCap_S1los_S1Arr"
62,145,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,146,"niq",58.9252710545602,85.2022273216048,113.631670826125,86.2336680308238,66.8693115374814,77.7374419142967,99.7078022562162,110.551108715355,37.3845694615226,116.242570733228,37,"P3_SG_BCap_S1los_S1Arr"
62,146,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
